Species,Common Name,Category,Type of Presence,Comments,Location(s),Kingdom,Phylum,Class,Order,Family,EPBC Act Threatened Fauna in Australia (Generated 2022-10-09 16:01:48)
Pterodroma neglecta neglecta,Kermadec Petrel (western),Vulnerable,Present,Norfolk Island,"AET, CSI, NI, NSW, OCE, QLD, TER",Animalia,Chordata,Aves,Procellariiformes,Procellariidae,
Pteropus brunneus,"Percy Island Flying-fox, Dusky Fruit Bat",Extinct,Present,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pteropus conspicillatus,Spectacled Flying-fox,Endangered,Endemic,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pteropus natalis,"Christmas Island Flying-fox, Christmas Island Fruit-bat",Critically Endangered,Endemic,,CI,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,Present,,"ACT, NSW, QLD, SA, TER, VIC",Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,
Pycnoptilus floccosus,Pilotbird,Vulnerable,Present,,"ACT, NSW, TER, VIC",Animalia,Chordata,Aves,Passeriformes,Acanthizidae,
Quintalia stoddartii,Stoddart's Helicarionid Land Snail,Critically Endangered,Present,,"AET, NI",Animalia,Mollusca,Gastropoda,Pulmonata,Helicarionidae,
Ramphotyphlops exocoeti,"Christmas Island Blind Snake, Christmas Island Pink Blind Snake",Vulnerable,Endemic,Christmas Island,"AET, CI",Animalia,Chordata,Reptilia,Squamata,Typhlopidae,
Rattus macleari,"Maclear's Rat, Christmas Island Rat",Extinct,Extinct,Christmas Island,AET,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Rattus nativitatis,"Bulldog Rat, Christmas Island Burrowing Rat",Extinct,Extinct,Christmas Island,AET,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Rexea solandri (eastern Australian population),Eastern Gemfish,Conservation Dependent,Present,,"NSW, OCE, QLD, TAS",Animalia,Chordata,Actinopterygii,Perciformes,Gempylidae,
Rheobatrachus silus,Southern Gastric-brooding Frog,Extinct,Extinct,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Rheobatrachus vitellinus,"Northern Gastric-brooding Frog, Eungella Gastric-brooding Frog",Extinct,Extinct,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Rheodytes leukops,"Fitzroy River Turtle, Fitzroy Tortoise, Fitzroy Turtle, White-eyed River Diver",Vulnerable,Endemic,,QLD,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Rhincodon typus,Whale Shark,Vulnerable,Present,,"ACR, AET, CI, CSI, NSW, NT, OCE, QLD, TAS, TER, VIC, WA",Animalia,Chordata,Chondrichthyes,Orectolobiformes,Rhincodontidae,
Rhinolophus robertsi,"Large-eared Horseshoe Bat, Greater Large-eared Horseshoe Bat",Vulnerable,Present,,QLD,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophidae,
Rhinonicteris aurantia (Pilbara form),Pilbara Leaf-nosed Bat,Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Chiroptera,Rhinonycteridae,
Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",Extinct,Extinct,,NSW,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,
Rostratula australis,Australian Painted Snipe,Endangered,Present,,"ACT, NSW, NT, QLD, SA, TER, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,
Rostratula australis,Australian Painted Snipe,Endangered,Vagrant,,TAS,Animalia,Chordata,Aves,Charadriiformes,Rostratulidae,
Saccolaimus saccolaimus nudicluniatus,"Bare-rumped Sheath-tailed Bat, Bare-rumped Sheathtail Bat",Vulnerable,Present,,"NT, QLD, WA",Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,
Sarcophilus harrisii,Tasmanian Devil,Endangered,Endemic,,TAS,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Scaturiginichthys vermeilipinnis,"Redfin Blue Eye, Redfin Blue-eye",Endangered,Endemic,,QLD,Animalia,Chordata,Actinopterygii,Atheriniformes,Pseudomugilidae,
Semotrachia euzyga,a land snail,Endangered,Endemic,,NT,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Seriolella brama,Blue Warehou,Conservation Dependent,Present,,"NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Actinopterygii,Perciformes,Centrolophidae,
Setonix brachyurus,Quokka,Vulnerable,Endemic,,WA,Animalia,Chordata,Mammalia,Diprotodonta,Macropodidae,
Sinumelon bednalli,Bednall's Land Snail,Endangered,Endemic,,NT,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Sminthopsis butleri,Butler's Dunnart,Vulnerable,Present,,"NT, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,Endemic,,QLD,Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Sminthopsis psammophila,Sandhill Dunnart,Endangered,Present,,"NT, SA, WA",Animalia,Chordata,Mammalia,Polyprotodonta,Dasyuridae,
Sphyrna lewini,Scalloped Hammerhead,Conservation Dependent,Present,,"ACR, CI, CKI, CSI, NI, NSW, NT, OCE, QLD, TER, WA",Animalia,Chordata,Chondrichthyes,Chimaeiformes,Sphyrnidae,
Spicospina flammocaerulea,Sunset Frog,Vulnerable,Endemic,,WA,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Stagonopleura bella samueli,"Western Beautiful Firetail, Beautiful Firetail (Mt Lofty Range and Kangaroo Island)",Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Estrildidae,
Sterna vittata bethunei,"New Zealand Antarctic Tern, Antarctic Tern (New Zealand)",Endangered,Present,,"OCE, TAS",Animalia,Chordata,Aves,Charadriiformes,Laridae,
Sterna vittata vittata,Antarctic Tern (Indian Ocean),Vulnerable,Present,,"AET, ANT, HI, OCE",Animalia,Chordata,Aves,Charadriiformes,Laridae,
Sternula nereis nereis,Australian Fairy Tern,Vulnerable,Present,,"NSW, OCE, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Charadriiformes,Laridae,
Stiphodon semoni,Opal Cling Goby,Critically Endangered,Present,,QLD,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,
Stipiturus malachurus halmaturinus,Kangaroo Island Southern Emu-wren,Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Stipiturus malachurus intermedius,"Fleurieu Peninsula Southern Emu-wren, Mount Lofty Southern Emu-wren",Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Stipiturus malachurus parimeda,Southern Emu-wren (Eyre Peninsula),Vulnerable,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Maluridae,
Stipiturus mallee,Mallee Emu-wren,Endangered,Present,,"NSW, SA, VIC",Animalia,Chordata,Aves,Passeriformes,Maluridae,
Strepera fuliginosa colei,Black Currawong (King Island),Vulnerable,Endemic,,TAS,Animalia,Chordata,Aves,Passeriformes,Artamidae,
Strepera graculina crissalis,"Lord Howe Island Currawong, Pied Currawong (Lord Howe Island)",Vulnerable,Present,Lord Howe Island,NSW,Animalia,Chordata,Aves,Passeriformes,Artamidae,
Synemon plana,Golden Sun Moth,Vulnerable,Present,,"ACT, NSW, VIC",Animalia,Arthropoda,Insecta,Lepidoptera,Castniidae,
Tachyglossus aculeatus multiaculeatus,Kangaroo Island Echidna,Endangered,Endemic,,SA,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,
Taudactylus acutirostris,"Sharp-snouted Day Frog, Sharp-snouted Torrent Frog",Extinct,Extinct,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",Extinct,Extinct,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Taudactylus eungellensis,Eungella Day Frog,Endangered,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Taudactylus pleione,"Kroombit Tinker Frog, Pleione's Torrent Frog",Critically Endangered,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Taudactylus rheophilus,Tinkling Frog,Critically Endangered,Endemic,,QLD,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Thalassarche bulleri,"Buller's Albatross, Pacific Albatross",Vulnerable,Present,,"CSI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche bulleri platei,"Northern Buller's Albatross, Pacific Albatross",Vulnerable,Present,,"NSW, OCE, SA, TAS, VIC",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche carteri,Indian Yellow-nosed  Albatross,Vulnerable,Present,,"OCE, QLD, SA, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche cauta,Shy Albatross,Endangered,Present,,"CSI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche chrysostoma,Grey-headed Albatross,Endangered,Present,,"AET, ANT, HI, NSW, OCE, QLD, SA, TAS, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche eremita,Chatham Albatross,Endangered,Present,,"CSI, NI, NSW, OCE, QLD, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche impavida,"Campbell Albatross, Campbell Black-browed Albatross",Vulnerable,Present,,"ANT, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche melanophris,Black-browed Albatross,Vulnerable,Present,,"AET, ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche salvini,Salvin's Albatross,Vulnerable,Present,,"NI, NSW, OCE, QLD, SA, TAS, TER, VIC",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thalassarche steadi,White-capped Albatross,Vulnerable,Present,,"ANT, CSI, HI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,
Thaumatoperla alpina,Alpine Stonefly,Endangered,Present,,VIC,Animalia,Arthropoda,Insecta,Plecoptera,Eustheniidae,
Thersites mitchellae,Mitchell's Rainforest Snail,Critically Endangered,Endemic,,NSW,Animalia,Mollusca,Gastropoda,Pulmonata,Camaenidae,
Thunnus maccoyii,Southern Bluefin Tuna,Conservation Dependent,Present,,"ACR, CI, CSI, NI, NSW, OCE, QLD, SA, TAS, TER, VIC, WA",Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,
Thylacinus cynocephalus,"Thylacine, Tasmanian Tiger",Extinct,Extinct,,TAS,Animalia,Chordata,Mammalia,Polyprotodonta,Thylacinidae,
Thymichthys politus,Red Handfish,Critically Endangered,Endemic,,TAS,Animalia,Chordata,Actinopterygii,Lophiiformes,Brachionichthyidae,
Thymichthys politus,Red Handfish,Critically Endangered,Present,,OCE,Animalia,Chordata,Actinopterygii,Lophiiformes,Brachionichthyidae,
Tiliqua adelaidensis,"Pygmy Blue-tongue Lizard, Adelaide Blue-tongue Lizard",Endangered,Endemic,,SA,Animalia,Chordata,Reptilia,Squamata,Scincidae,
Trichosurus vulpecula arnhemensis,Northern Brushtail Possum,Vulnerable,Present,,"NT, WA",Animalia,Chordata,Mammalia,Diprotodonta,Phalangeridae,
Trioza barrettae,Banksia brownii plant louse,Endangered,Present,,WA,Animalia,Arthropoda,Insecta,Hemiptera,Triozidae,
Trisyntopa scatophaga,Antbed Parrot Moth,Endangered,Present,,QLD,Animalia,Arthropoda,Insecta,Lepidoptera,Oecophoridae,
Turdus poliocephalus erythropleurus,Christmas Island Thrush,Endangered,Endemic,Christmas Island,"AET, CI",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,
Turdus poliocephalus poliocephalus,"Grey-headed Blackbird, Norfolk Island Thrush",Extinct,Extinct,Norfolk Island,"AET, NI",Animalia,Chordata,Aves,Passeriformes,Muscicapidae,
Turdus poliocephalus vinitinctus,"Lord Howe Thrush, Vinous-tinted Thrush",Extinct,Extinct,,NSW,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,
Turnix melanogaster,Black-breasted Button-quail,Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Aves,Gruiformes,Turnicidae,
Turnix olivii,Buff-breasted Button-quail,Endangered,Endemic,,QLD,Animalia,Chordata,Aves,Gruiformes,Turnicidae,
Turnix varius scintillans,Painted Button-quail (Houtman Abrolhos),Vulnerable,Endemic,,WA,Animalia,Chordata,Aves,Gruiformes,Turnicidae,
Tympanocryptis condaminensis,Condamine Earless Dragon,Endangered,Present,,QLD,Animalia,Chordata,Reptilia,Squamata,Agamidae,
Tympanocryptis pinguicolla,Victorian Grassland Earless Dragon,Endangered,Present,,"ACT, NSW, VIC",Animalia,Chordata,Reptilia,Squamata,Agamidae,
Tyto novaehollandiae castanops (Tasmanian population),Masked Owl (Tasmanian),Vulnerable,Endemic,,TAS,Animalia,Chordata,Aves,Strigiformes,Tytonidae,
Tyto novaehollandiae kimberli,Masked Owl (northern),Vulnerable,Present,,"NT, QLD, WA",Animalia,Chordata,Aves,Strigiformes,Tytonidae,
Tyto novaehollandiae melvillensis,"Tiwi Masked Owl, Tiwi Islands Masked Owl",Endangered,Endemic,,NT,Animalia,Chordata,Aves,Strigiformes,Tytonidae,
Uperoleia daviesae,"Howard River Toadlet, Davies's Toadlet",Vulnerable,Present,,NT,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Uperoleia mahonyi,Mahony's Toadlet,Endangered,Endemic,,NSW,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,
Uvidicolus sphyrurus,"Border Thick-tailed Gecko, Granite Belt Thick-tailed Gecko",Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Reptilia,Squamata,Carphodactylidae,
Westralunio carteri,"Carter's Freshwater Mussel, Freshwater Mussel",Vulnerable,Present,,WA,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,
Wollumbinia belli,"Bell's Turtle, Western Sawshell Turtle, Namoi River Turtle, Bell's Saw-shelled Turtle",Vulnerable,Present,,"NSW, QLD",Animalia,Chordata,Reptilia,Testudines,Chelidae,
Wollumbinia georgesi,"Georges' Snapping Turtle, Bellinger River Sawshell Turtle, Georges Helmeted Turtle",Critically Endangered,Endemic,,NSW,Animalia,Chordata,Reptilia,Testudines,Chelidae,
Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,Present,,"NSW, NT, QLD, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
Zearaja maugeana,"Maugean Skate, Port Davey Skate",Endangered,Endemic,,TAS,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,
Zephyrarchaea austini,Kangaroo Island Assassin Spider,Critically Endangered,Endemic,,SA,Animalia,Arthropoda,Arachnida,Araneae,Archaeidae,
Zoothera lunulata halmaturina,"South Australian Bassian Thrush, Western Bassian Thrush",Endangered,Endemic,,SA,Animalia,Chordata,Aves,Passeriformes,Turdidae,
Zosterops albogularis,"White-chested White-eye, Norfolk Island Silvereye",Extinct,Extinct,Norfolk Island,"AET, NI",Animalia,Chordata,Aves,Passeriformes,Zosteropidae,
Zosterops strenuus,Robust White-eye,Extinct,Extinct,Lord Howe Island,NSW,Animalia,Chordata,Aves,Passeriformes,Zosteropidae,
Zyzomys maini,"Arnhem Rock-rat, Arnhem Land Rock-rat, Kodjperr",Vulnerable,Endemic,,NT,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Zyzomys palatalis,"Carpentarian Rock-rat, Aywalirroomoo",Endangered,Endemic,,NT,Animalia,Chordata,Mammalia,Rodentia,Muridae,
Zyzomys pedunculatus,"Central Rock-rat, Antina",Critically Endangered,Present,,"NT, WA",Animalia,Chordata,Mammalia,Rodentia,Muridae,
